CustomerID,CreditScore,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Churned
15634602,619,France,Female,42,2,0,1,Yes,Yes,101348.88,Yes
15647311,608,Spain,Female,41,1,83807.86,1,No,Yes,112542.58,No
15619304,502,France,Female,42,8,159660.8,3,Yes,No,113931.57,Yes
15701354,699,France,Female,39,1,0,2,No,No,93826.63,No
15737888,850,Spain,Female,43,2,125510.82,1,Yes,Yes,79084.1,No
15574012,645,Spain,Male,44,8,113755.78,2,Yes,No,149756.71,Yes
15592531,822,France,Male,50,7,0,2,Yes,Yes,10062.8,No
15656148,376,Germany,Female,29,4,115046.74,4,Yes,No,119346.88,Yes
15792365,501,France,Male,44,4,142051.07,2,No,Yes,74940.5,No
15592389,684,France,Male,27,2,134603.88,1,Yes,Yes,71725.73,No
15767821,528,France,Male,31,6,102016.72,2,No,No,80181.12,No
15737173,497,Spain,Male,24,3,0,2,Yes,No,76390.01,No
15632264,476,France,Female,34,10,0,2,Yes,No,26260.98,No
15691483,549,France,Female,25,5,0,2,No,No,190857.79,No
15600882,635,Spain,Female,35,7,0,2,Yes,Yes,65951.65,No
15643966,616,Germany,Male,45,3,143129.41,2,No,Yes,64327.26,No
15737452,653,Germany,Male,58,1,132602.88,1,Yes,No,5097.67,Yes
15788218,549,Spain,Female,24,9,0,2,Yes,Yes,14406.41,No
15661507,587,Spain,Male,45,6,0,1,No,No,158684.81,No
15568982,726,France,Female,24,6,0,2,Yes,Yes,54724.03,No
15577657,732,France,Male,41,8,0,2,Yes,Yes,170886.17,No
15597945,636,Spain,Female,32,8,0,2,Yes,No,138555.46,No
15699309,510,Spain,Female,38,4,0,1,Yes,No,118913.53,Yes
15725737,669,France,Male,46,3,0,2,No,Yes,8487.75,No
15625047,846,France,Female,38,5,0,1,Yes,Yes,187616.16,No
15738191,577,France,Male,25,3,0,2,No,Yes,124508.29,No
15736816,756,Germany,Male,36,2,136815.64,1,Yes,Yes,170041.95,No
15700772,571,France,Male,44,9,0,2,No,No,38433.35,No
15728693,574,Germany,Female,43,3,141349.43,1,Yes,Yes,100187.43,No
15656300,411,France,Male,29,0,59697.17,2,Yes,Yes,53483.21,No
15589475,591,Spain,Female,39,3,0,3,Yes,No,140469.38,Yes
15706552,533,France,Male,36,7,85311.7,1,No,Yes,156731.91,No
15750181,553,Germany,Male,41,9,110112.54,2,No,No,81898.81,No
15659428,520,Spain,Female,42,6,0,2,Yes,Yes,34410.55,No
15732963,722,Spain,Female,29,9,0,2,Yes,Yes,142033.07,No
15794171,475,France,Female,45,0,134264.04,1,Yes,No,27822.99,Yes
15788448,490,Spain,Male,31,3,145260.23,1,No,Yes,114066.77,No
15729599,804,Spain,Male,33,7,76548.6,1,No,Yes,98453.45,No
15717426,850,France,Male,36,7,0,1,Yes,Yes,40812.9,No
15585768,582,Germany,Male,41,6,70349.48,2,No,Yes,178074.04,No
15619360,472,Spain,Male,40,4,0,1,Yes,No,70154.22,No
15738148,465,France,Female,51,8,122522.32,1,No,No,181297.65,Yes
15687946,556,France,Female,61,2,117419.35,1,Yes,Yes,94153.83,No
15755196,834,France,Female,49,2,131394.56,1,No,No,194365.76,Yes
15684171,660,Spain,Female,61,5,155931.11,1,Yes,Yes,158338.39,No
15754849,776,Germany,Female,32,4,109421.13,2,Yes,Yes,126517.46,No
